iter	Passed	Remaining
695	3719	23003
696	3724	22995
697	3729	22988
698	3735	22986
699	3740	22980
700	3746	22973
701	3750	22963
702	3755	22955
703	3761	22951
704	3766	22946
705	3772	22942
706	3777	22936
707	3782	22927
708	3786	22917
709	3792	22912
710	3798	22911
711	3804	22911
712	3809	22907
713	3814	22900
714	3819	22891
715	3825	22886
716	3830	22881
717	3835	22873
718	3840	22868
719	3846	22865
720	3851	22859
721	3857	22855
722	3862	22849
723	3867	22842
724	3872	22835
725	3877	22824
726	3882	22817
727	3886	22808
728	3892	22803
729	3897	22796
730	3902	22791
731	3908	22786
732	3913	22779
733	3918	22774
734	3923	22768
735	3928	22761
736	3933	22751
737	3938	22745
738	3943	22738
739	3948	22731
740	3953	22724
741	3958	22714
742	3963	22708
743	3968	22703
744	3974	22698
745	3979	22691
746	3984	22685
747	3989	22678
748	3995	22674
749	4000	22670
750	4005	22662
751	4010	22656
752	4016	22653
753	4021	22645
754	4026	22639
755	4031	22633
756	4037	22628
757	4041	22618
758	4046	22611
759	4051	22604
760	4057	22599
761	4062	22593
762	4067	22586
763	4071	22576
764	4077	22570
765	4082	22566
766	4087	22560
767	4093	22556
768	4098	22551
769	4104	22545
770	4110	22546
771	4115	22539
772	4120	22532
773	4125	22526
774	4130	22520
775	4136	22514
776	4141	22509
777	4146	22503
778	4152	22497
779	4157	22492
780	4162	22487
781	4167	22479
782	4173	22475
783	4178	22470
784	4184	22466
785	4189	22460
786	4194	22454
787	4199	22446
788	4204	22440
789	4209	22434
790	4215	22429
791	4220	22424
792	4225	22418
793	4231	22414
794	4236	22408
795	4241	22402
796	4247	22396
797	4252	22390
798	4257	22386
799	4263	22382
800	4268	22377
801	4273	22371
802	4278	22364
803	4283	22356
804	4288	22350
805	4293	22343
806	4299	22339
807	4304	22334
808	4310	22330
809	4315	22324
810	4320	22315
811	4325	22309
812	4330	22304
813	4336	22299
814	4341	22293
815	4347	22290
816	4352	22284
817	4357	22279
818	4363	22274
819	4368	22269
820	4374	22265
821	4379	22260
822	4385	22256
823	4390	22250
824	4395	22245
825	4401	22240
826	4406	22235
827	4412	22230
828	4417	22224
829	4422	22219
830	4427	22213
831	4433	22207
832	4438	22202
833	4443	22198
834	4449	22192
835	4454	22187
836	4459	22181
837	4465	22175
838	4470	22169
839	4475	22163
840	4480	22158
841	4485	22149
842	4490	22145
843	4496	22140
844	4500	22131
845	4506	22125
846	4511	22120
847	4516	22113
848	4521	22108
849	4527	22104
850	4532	22099
851	4538	22096
852	4543	22089
853	4548	22083
854	4554	22078
855	4559	22072
856	4565	22069
857	4570	22064
858	4575	22057
859	4580	22051
860	4586	22045
861	4591	22040
862	4596	22034
863	4602	22031
864	4608	22030
865	4614	22028
866	4620	22024
867	4625	22020
868	4631	22018
869	4636	22011
870	4642	22007
871	4648	22003
872	4654	22005
873	4661	22004
874	4667	22003
875	4673	22004
876	4680	22002
877	4686	22000
878	4691	21995
879	4697	21990
880	4702	21985
881	4707	21980
882	4713	21975
883	4718	21970
884	4723	21963
885	4729	21958
886	4734	21951
887	4738	21944
888	4743	21934
889	4748	21928
890	4753	21921
891	4758	21915
892	4764	21910
893	4768	21903
894	4774	21898
895	4779	21892
896	4784	21884
897	4789	21878
898	4794	21870
899	4798	21860
900	4803	21853
901	4808	21846
902	4813	21840
903	4818	21832
904	4823	21825
905	4828	21820
906	4833	21814
907	4839	21810
908	4845	21806
909	4849	21798
910	4854	21791
911	4859	21783
912	4864	21777
913	4870	21773
914	4875	21767
915	4880	21758
916	4885	21754
917	4890	21748
918	4896	21743
919	4901	21736
920	4906	21730
921	4911	21722
922	4916	21716
923	4921	21710
924	4926	21704
925	4932	21699
926	4937	21692
927	4942	21686
928	4947	21680
929	4952	21674
930	4957	21667
931	4962	21661
932	4967	21654
933	4973	21650
934	4978	21644
935	4983	21635
936	4987	21627
937	4992	21620
938	4998	21617
939	5003	21610
940	5008	21606
941	5014	21601
942	5019	21595
943	5024	21589
944	5029	21582
945	5034	21574
946	5039	21568
947	5045	21563
948	5050	21558
949	5055	21551
950	5060	21547
951	5066	21541
952	5071	21536
953	5076	21529
954	5081	21522
955	5087	21519
956	5092	21514
957	5097	21508
958	5103	21503
959	5108	21498
960	5113	21492
961	5119	21487
962	5124	21482
963	5129	21477
964	5135	21472
965	5140	21467
966	5145	21461
967	5150	21453
968	5155	21446
969	5160	21441
970	5166	21436
971	5171	21431
972	5176	21425
973	5182	21420
974	5187	21416
975	5193	21411
976	5199	21408
977	5204	21402
978	5209	21397
979	5214	21391
980	5220	21386
981	5225	21382
982	5231	21376
983	5236	21371
984	5242	21367
985	5247	21361
986	5252	21356
987	5258	21352
988	5263	21347
989	5269	21343
990	5274	21339
991	5280	21333
992	5285	21326
993	5289	21319
994	5295	21313
995	5300	21308
996	5305	21302
997	5310	21295
998	5315	21289
999	5321	21285
1000	5326	21279
1001	5331	21274
1002	5337	21268
1003	5342	21262
1004	5347	21256
1005	5352	21252
1006	5358	21246
1007	5363	21241
1008	5368	21235
1009	5374	21230
1010	5379	21225
1011	5384	21219
1012	5389	21212
1013	5395	21208
1014	5400	21202
1015	5405	21196
1016	5410	21189
1017	5415	21182
1018	5420	21178
1019	5426	21173
1020	5431	21168
1021	5436	21162
1022	5442	21156
1023	5447	21151
1024	5453	21147
1025	5458	21141
1026	5463	21136
1027	5468	21130
1028	5474	21124
1029	5479	21119
1030	5484	21113
1031	5489	21107
1032	5495	21102
1033	5500	21097
1034	5505	21091
1035	5510	21085
1036	5516	21080
1037	5521	21075
1038	5526	21070
1039	5532	21065
1040	5537	21059
1041	5542	21054
1042	5548	21049
1043	5553	21044
1044	5558	21038
1045	5564	21034
1046	5569	21028
1047	5575	21024
1048	5581	21021
1049	5587	21018
1050	5592	21014
1051	5598	21011
1052	5604	21006
1053	5609	21002
1054	5615	20997
1055	5621	20993
1056	5626	20987
1057	5631	20982
1058	5636	20976
1059	5642	20971
1060	5647	20966
1061	5652	20961
1062	5657	20954
1063	5663	20949
1064	5668	20943
1065	5673	20937
1066	5679	20933
1067	5684	20930
1068	5690	20925
1069	5696	20923
1070	5702	20921
1071	5708	20918
1072	5727	20960
1073	5732	20955
1074	5737	20947
1075	5742	20941
1076	5747	20935
1077	5752	20928
1078	5757	20923
1079	5763	20919
1080	5768	20912
1081	5773	20905
1082	5778	20899
1083	5783	20892
1084	5788	20887
1085	5793	20880
1086	5798	20874
1087	5804	20869
1088	5808	20861
1089	5814	20856
1090	5819	20850
1091	5824	20845
1092	5829	20839
1093	5835	20834
1094	5840	20829
1095	5845	20822
1096	5850	20816
1097	5856	20811
1098	5861	20804
1099	5866	20798
1100	5871	20791
1101	5876	20786
1102	5881	20778
1103	5886	20772
1104	5891	20766
1105	5896	20761
1106	5902	20756
1107	5907	20750
1108	5912	20745
1109	5917	20739
1110	5923	20734
1111	5928	20729
1112	5933	20722
1113	5939	20718
1114	5944	20711
1115	5949	20707
1116	5955	20702
1117	5960	20697
1118	5965	20691
1119	5970	20683
1120	5975	20677
1121	5980	20671
1122	5985	20665
1123	5991	20660
1124	5996	20653
1125	6001	20647
1126	6006	20641
1127	6011	20636
1128	6017	20631
1129	6022	20626
1130	6027	20620
1131	6033	20614
1132	6038	20609
1133	6043	20603
1134	6048	20596
1135	6053	20589
1136	6058	20584
1137	6063	20578
1138	6069	20576
1139	6075	20571
1140	6080	20566
1141	6086	20560
1142	6091	20555
1143	6096	20550
1144	6101	20543
1145	6106	20537
1146	6112	20531
1147	6116	20524
1148	6121	20518
1149	6127	20513
1150	6132	20507
1151	6137	20502
1152	6142	20496
1153	6148	20490
1154	6153	20485
1155	6158	20479
1156	6164	20473
1157	6169	20468
1158	6174	20462
1159	6179	20456
1160	6184	20451
1161	6190	20446
1162	6195	20440
1163	6200	20433
1164	6206	20429
1165	6210	20422
1166	6215	20415
1167	6221	20411
1168	6226	20405
1169	6231	20399
1170	6237	20394
1171	6242	20388
1172	6247	20383
1173	6252	20378
1174	6258	20372
1175	6263	20366
1176	6268	20360
1177	6273	20355
1178	6279	20350
1179	6284	20345
1180	6289	20338
1181	6294	20331
1182	6299	20325
1183	6305	20321
1184	6310	20315
1185	6315	20310
1186	6320	20304
1187	6326	20299
1188	6331	20295
1189	6336	20288
1190	6342	20282
1191	6347	20278
1192	6352	20273
1193	6358	20268
1194	6364	20264
1195	6369	20258
1196	6374	20252
1197	6380	20248
1198	6385	20242
1199	6391	20238
1200	6396	20232
1201	6401	20228
1202	6407	20222
1203	6412	20216
1204	6417	20211
1205	6422	20205
1206	6428	20201
1207	6433	20194
1208	6438	20190
1209	6444	20184
1210	6449	20179
1211	6454	20173
1212	6459	20167
1213	6465	20162
1214	6470	20157
1215	6476	20152
1216	6481	20147
1217	6486	20141
1218	6491	20135
1219	6497	20130
1220	6502	20124
1221	6507	20118
1222	6512	20112
1223	6517	20107
1224	6522	20101
1225	6528	20095
1226	6533	20089
1227	6538	20083
1228	6543	20077
1229	6548	20072
1230	6554	20069
1231	6560	20064
1232	6565	20059
1233	6571	20055
1234	6577	20051
1235	6583	20048
1236	6588	20042
1237	6593	20037
1238	6599	20032
1239	6604	20026
1240	6609	20021
1241	6614	20015
1242	6620	20009
1243	6625	20003
1244	6630	19997
1245	6635	19992
1246	6640	19986
1247	6645	19980
1248	6651	19975
1249	6656	19969
1250	6661	19962
1251	6666	19956
1252	6671	19950
1253	6676	19944
1254	6682	19940
1255	6687	19934
1256	6692	19927
1257	6697	19921
1258	6702	19917
1259	6708	19911
1260	6713	19904
1261	6718	19900
1262	6724	19896
1263	6730	19893
1264	6736	19889
1265	6742	19887
1266	6748	19883
1267	6755	19881
1268	6761	19879
1269	6767	19876
1270	6773	19871
1271	6778	19865
1272	6783	19858
1273	6788	19854
1274	6793	19848
1275	6799	19843
1276	6804	19836
1277	6808	19829
1278	6813	19823
1279	6819	19818
1280	6824	19812
1281	6829	19807
1282	6834	19801
1283	6840	19795
1284	6845	19790
1285	6850	19784
1286	6855	19778
1287	6861	19773
1288	6866	19767
1289	6871	19763
1290	6876	19757
1291	6882	19751
1292	6887	19745
1293	6892	19740
1294	6898	19735
1295	6903	19731
1296	6908	19725
1297	6914	19719
1298	6920	19716
1299	6926	19713
1300	6931	19708
1301	6936	19702
1302	6942	19698
1303	6947	19692
1304	6952	19686
1305	6958	19680
1306	6963	19675
1307	6969	19670
1308	6973	19664
1309	6979	19658
1310	6984	19653
1311	6989	19647
1312	6994	19641
1313	6999	19635
1314	7005	19630
1315	7009	19623
1316	7015	19618
1317	7020	19613
1318	7025	19606
1319	7031	19602
1320	7036	19596
1321	7042	19592
1322	7047	19587
1323	7053	19583
1324	7058	19576
1325	7063	19571
1326	7068	19566
1327	7074	19560
1328	7079	19554
1329	7084	19548
1330	7089	19543
1331	7095	19537
1332	7100	19533
1333	7106	19528
1334	7111	19523
1335	7116	19518
1336	7121	19511
1337	7127	19507
1338	7132	19500
1339	7137	19495
1340	7142	19490
1341	7148	19484
1342	7153	19480
1343	7159	19474
1344	7164	19468
1345	7169	19463
1346	7174	19457
1347	7180	19453
1348	7186	19448
1349	7191	19443
1350	7197	19439
1351	7202	19434
1352	7207	19428
1353	7213	19423
1354	7219	19419
1355	7224	19413
1356	7229	19409
1357	7235	19403
1358	7240	19397
1359	7245	19392
1360	7251	19387
1361	7256	19382
1362	7261	19375
1363	7266	19370
1364	7271	19364
1365	7276	19358
1366	7282	19353
1367	7287	19348
1368	7292	19343
1369	7298	19337
1370	7303	19331
1371	7308	19326
1372	7314	19321
1373	7319	19315
1374	7324	19309
1375	7329	19303
1376	7334	19297
1377	7339	19292
1378	7345	19286
1379	7350	19281
1380	7355	19276
1381	7361	19271
1382	7366	19265
1383	7371	19260
1384	7377	19255
1385	7382	19249
1386	7387	19244
1387	7392	19238
1388	7398	19233
1389	7404	19229
1390	7409	19224
1391	7414	19219
1392	7420	19213
1393	7425	19208
1394	7431	19203
1395	7436	19198
1396	7441	19193
1397	7447	19187
1398	7452	19181
1399	7457	19177
1400	7463	19172
1401	7468	19167
1402	7473	19161
1403	7479	19156
1404	7484	19150
1405	7489	19145
1406	7495	19140
1407	7500	19134
1408	7505	19129
1409	7510	19123
1410	7516	19119
1411	7521	19113
1412	7527	19109
1413	7533	19104
1414	7538	19100
1415	7544	19096
1416	7550	19091
1417	7555	19085
1418	7561	19081
1419	7566	19077
1420	7572	19071
1421	7577	19065
1422	7582	19060
1423	7587	19054
1424	7593	19049
1425	7598	19043
1426	7603	19038
1427	7609	19033
1428	7613	19026
1429	7619	19021
1430	7624	19016
1431	7630	19011
1432	7635	19006
1433	7640	19000
1434	7645	18994
1435	7650	18988
1436	7655	18982
1437	7661	18977
1438	7666	18971
1439	7671	18966
1440	7677	18960
1441	7682	18956
1442	7688	18952
1443	7693	18946
1444	7698	18941
1445	7704	18935
1446	7709	18930
1447	7715	18925
1448	7720	18919
1449	7725	18913
1450	7730	18908
1451	7735	18901
1452	7740	18896
1453	7747	18894
1454	7752	18889
1455	7758	18885
1456	7764	18881
1457	7770	18877
1458	7776	18873
1459	7782	18869
1460	7788	18865
1461	7794	18862
1462	7800	18859
1463	7806	18855
1464	7812	18851
1465	7817	18844
1466	7822	18838
1467	7827	18832
1468	7832	18826
1469	7837	18821
1470	7843	18816
1471	7849	18812
1472	7854	18806
1473	7859	18801
1474	7865	18796
1475	7870	18790
1476	7875	18784
1477	7880	18779
1478	7885	18773
1479	7890	18767
1480	7896	18761
1481	7901	18756
1482	7906	18750
1483	7911	18745
1484	7917	18739
1485	7922	18734
1486	7927	18728
1487	7933	18723
1488	7938	18718
1489	7943	18712
1490	7948	18707
1491	7953	18701
1492	7959	18695
1493	7964	18690
1494	7969	18684
1495	7975	18679
1496	7980	18674
1497	7985	18668
1498	7990	18662
1499	7995	18656
1500	8000	18649
1501	8005	18644
1502	8010	18638
1503	8016	18633
1504	8021	18627
1505	8027	18623
1506	8032	18619
1507	8038	18614
1508	8043	18608
1509	8048	18602
1510	8053	18597
1511	8059	18591
1512	8064	18585
1513	8069	18580
1514	8075	18575
1515	8080	18569
1516	8085	18564
1517	8090	18559
1518	8096	18553
1519	8101	18548
1520	8106	18542
1521	8111	18536
1522	8117	18531
1523	8122	18526
1524	8128	18521
1525	8133	18515
1526	8138	18510
1527	8143	18505
1528	8150	18502
1529	8155	18496
1530	8161	18491
1531	8166	18485
1532	8171	18480
1533	8177	18475
1534	8182	18469
1535	8187	18464
1536	8192	18458
1537	8197	18452
1538	8203	18447
1539	8208	18441
1540	8213	18436
1541	8219	18431
1542	8224	18425
1543	8229	18420
1544	8235	18415
1545	8240	18410
1546	8245	18405
1547	8251	18399
1548	8256	18394
1549	8261	18388
1550	8266	18382
1551	8271	18377
1552	8277	18371
1553	8282	18365
1554	8287	18359
1555	8292	18354
1556	8298	18349
1557	8303	18344
1558	8308	18339
1559	8314	18335
1560	8320	18330
1561	8325	18325
1562	8331	18320
1563	8336	18315
1564	8341	18309
1565	8346	18303
1566	8352	18298
1567	8357	18293
1568	8362	18287
1569	8368	18281
1570	8373	18277
1571	8379	18271
1572	8384	18266
1573	8389	18260
1574	8395	18256
1575	8400	18251
1576	8406	18246
1577	8411	18240
1578	8416	18234
1579	8422	18229
1580	8427	18224
1581	8432	18219
1582	8437	18213
1583	8443	18208
1584	8448	18203
1585	8453	18197
1586	8459	18192
1587	8464	18186
1588	8469	18180
1589	8474	18175
1590	8479	18169
1591	8485	18164
1592	8490	18159
1593	8495	18153
1594	8501	18147
1595	8506	18143
1596	8512	18138
1597	8517	18132
1598	8523	18128
1599	8528	18122
1600	8534	18118
1601	8539	18113
1602	8545	18108
1603	8550	18103
1604	8556	18098
1605	8561	18093
1606	8566	18087
1607	8571	18081
1608	8576	18075
1609	8581	18070
1610	8586	18063
1611	8591	18058
1612	8597	18052
1613	8602	18046
1614	8606	18039
1615	8612	18035
1616	8618	18030
1617	8623	18024
1618	8628	18019
1619	8633	18013
1620	8638	18007
1621	8644	18002
1622	8649	17997
1623	8654	17991
1624	8659	17985
1625	8664	17979
1626	8670	17974
1627	8675	17969
1628	8681	17964
1629	8686	17959
1630	8691	17954
1631	8697	17948
1632	8702	17943
1633	8708	17938
1634	8713	17932
1635	8718	17927
1636	8723	17921
1637	8728	17915
1638	8733	17909
1639	8739	17905
1640	8744	17899
1641	8749	17893
1642	8755	17888
1643	8760	17882
1644	8765	17877
1645	8771	17872
1646	8776	17867
1647	8781	17861
1648	8786	17855
1649	8792	17850
1650	8797	17845
1651	8803	17840
1652	8808	17836
1653	8814	17831
1654	8820	17828
1655	8826	17824
1656	8832	17820
1657	8839	17817
1658	8845	17813
1659	8851	17810
1660	8857	17806
1661	8862	17800
1662	8867	17794
1663	8873	17789
1664	8878	17784
1665	8885	17781
1666	8891	17778
1667	8896	17772
1668	8902	17766
1669	8907	17761
1670	8912	17755
1671	8917	17749
1672	8922	17744
1673	8928	17739
1674	8933	17733
1675	8938	17728
1676	8943	17722
1677	8949	17717
1678	8954	17711
1679	8959	17706
1680	8965	17701
1681	8970	17695
